Below or Above,Budget Area,Below Minimum Wage,Wage Correction,Hrly Correction,Hrly Rate Bin Size,Hrly Correction (bin),Hrly Rate (bin),Hrly Rate Correction Bin Size,Hrly Rate,ID,레코드 수,Service Dt,Service Time in Years
Above,Facilities,Above Minimum Wage,"-$6,511.0",$17.44,$17.00,$17.00,$17.00,$17.00,$17.44,657,1,1994-04-15,21.712328767
Below,Services,Below Minimum Wage,"$1,438.5",$15.00,$14.00,$15.00,$14.00,$15.00,$14.46,210,1,1994-06-02,21.583561644
Above,Services,Above Minimum Wage,"-$14,464.6",$20.42,$20.00,$20.00,$20.00,$20.00,$20.42,838,1,1994-07-15,21.465753425
Above,Services,Above Minimum Wage,"-$6,167.5",$17.31,$17.00,$17.00,$17.00,$17.00,$17.31,533,1,1994-08-26,21.353424658
Above,Supply Chain,Above Minimum Wage,"-$24,995.3",$24.37,$24.00,$24.00,$24.00,$24.00,$24.37,598,1,1994-09-05,21.328767123
Above,Services,Above Minimum Wage,"-$3,099.8",$16.16,$16.00,$16.00,$16.00,$16.00,$16.16,3,1,1994-11-18,21.128767123
Above,Research & Development,Above Minimum Wage,"-$9,563.8",$18.58,$18.00,$18.00,$18.00,$18.00,$18.58,50,1,1994-11-30,21.095890411
Above,Services,Above Minimum Wage,"-$4,802.8",$16.80,$16.00,$16.00,$16.00,$16.00,$16.80,488,1,1994-12-16,21.052054795
Below,Services,Below Minimum Wage,"$4,926.7",$15.00,$13.00,$15.00,$13.00,$15.00,$13.15,758,1,1994-12-23,21.032876712
Below,Facilities,Below Minimum Wage,"$4,256.9",$15.00,$13.00,$15.00,$13.00,$15.00,$13.40,349,1,1995-01-06,20.997260274
Above,Facilities,Above Minimum Wage,"-$21,234.9",$22.96,$22.00,$22.00,$22.00,$22.00,$22.96,912,1,1995-01-06,20.997260274
Above,Logistics,Above Minimum Wage,"-$11,090.2",$19.16,$19.00,$19.00,$19.00,$19.00,$19.16,237,1,1995-01-17,20.967123288
Below,Facilities,Below Minimum Wage,$654.2,$15.00,$14.00,$15.00,$14.00,$15.00,$14.75,800,1,1995-02-24,20.865753425
Above,Logistics,Above Minimum Wage,"-$2,478.3",$15.93,$15.00,$15.00,$15.00,$15.00,$15.93,90,1,1995-04-05,20.753424658
